number,rating,title,guests,release_date,accolades,notes,winner,live
1,3.33,Chili’s,Eva Anderson,2015-05-20,"","",,FALSE
2,4.33,Taco Bell,Jack Allison,2015-05-25,"","",,FALSE
3,3.83,IHOP,Alison Agosti,2015-05-28,"","",,FALSE
4,3.83,Outback Steakhouse,Jon Gabrus,2015-06-04,"","",,FALSE
5,2.83,Long John Silver's,Mary Holland,2015-06-11,"","",,FALSE
6,3.83,TGI Fridays,Jordan Morris,2015-06-18,"","Mitch coins ""Spoonman""",,FALSE
7,4.67,Chipotle,Mike Hanford,2015-06-25,Golden Plate Club,"",,FALSE
8,2.5,Umami Burger,Heather Anne Campbell,2015-07-02,"","",,FALSE
9,4.33,Carl’s Jr./Hardee’s,Ben Axelrad,2015-07-09,Golden Plate Club,"creation of the Golden Plate Club and
Platinum Plate Club",,FALSE
10,3.67,Domino’s,Matt Kowalick,2015-07-16,"","",,FALSE
11,1.5,Carrows,Erin Whitehead,2015-07-23,"","",,FALSE
12,4.33,Chick-fil-A,Betsy Sodaro,2015-07-29,Golden Plate Club,Initially denied entry to the Golden Plate Club due to the owners' open views against homosexuality,,FALSE
13,3.17,Denny’s,Farley Elliott,2015-08-06,"","",,FALSE
14,3.5,Original Tommy’s,Jim Woods,2015-08-12,Hand-holding Club,"",,FALSE
15,3.5,Boston Market,Annie Mebane,2015-08-19,Hand-holding Club,"",,FALSE
16,5,In-N-Out Burger,Armen Weitzman,2015-08-27,Platinum Plate Club,"",,FALSE
17,2.33,Subway,Fran Gillespie,2015-09-03,"","",,FALSE
18,2.67,Steak ‘n Shake,Evan Susser,2015-09-09,"","",,FALSE
19,4.11,Buffalo Wild Wings,Matt Selman,2015-09-18,Golden Plate Club,Tickle Porn,,FALSE
20,3.17,Starbucks with Joe Saunders,NA,2015-09-24,"","",,FALSE
21,4.17,L&L Hawaiian Barbecue,Eugene Cordero,2015-10-01,Golden Plate Club,"",,FALSE
22,3.17,Rockdoughberfest: Cabo Wabo Cantina,Julie Brister,2015-10-08,Fork Rating Revision,"",,FALSE
23,3.17,Rockdoughberfest: Margaritaville,Mike Carlson,2015-10-15,Fork Rating Revision,"",,FALSE
24,2.17,Rockdoughberfest: Hard Rock Cafe,Scott Gairdner,2015-10-22,Fork Rating Revision,"",,FALSE
25,3.17,Rockdoughberfest: Rock & Brews,Zoe Jarman,2015-10-29,"","",,FALSE
26,3.5,Burger King,John Roy,2015-11-05,"","",,FALSE
